date,artist,venue,type,link,source
2026-08-18,Bait (Barcelona),ZCUK Regenerator,Concert,https://www.songkick.com/concerts/43255680-bait-barcelona-at-zcuk-regenerator?utm_medium=organic&utm_source=microformat,Songkick
2026-08-28,The Festival 2026,Zagrebački Velesajam - Glazbena Kuća,Festival,https://www.songkick.com/festivals/204581-the/id/43316971-the-festival-2026?utm_medium=organic&utm_source=microformat,Songkick
2026-08-28,Ljeto na Zagrebačkom Velesajmu 2026,Zagrebački Velesajam,Concert,https://www.songkick.com/festivals/3743868-ljeto-na-zagrebackom-velesajmu/id/43320094-ljeto-na-zagrebakom-velesajmu-2026?utm_medium=organic&utm_source=microformat,Songkick
2026-09-03,Hollywood Vampires,Arena Zagreb,Concert,https://www.songkick.com/concerts/43135244-hollywood-vampires-at-arena-zagreb?utm_medium=organic&utm_source=microformat,Songkick
2026-09-04,Radio Slave,Peti Kupe,Concert,https://www.songkick.com/concerts/43303983-radio-slave-at-peti-kupe?utm_medium=organic&utm_source=microformat,Songkick
2026-09-04,Sunčani Fest 2026,Baraka,Concert,https://www.songkick.com/festivals/3743031-suncani-fest/id/43349387-sunani-fest-2026?utm_medium=organic&utm_source=microformat,Songkick
2026-09-08,GusGus,Tvornica Kulture,Concert,https://www.songkick.com/concerts/43196649-gusgus-at-tvornica-kulture?utm_medium=organic&utm_source=microformat,Songkick
2026-09-10,The Festival 2026,Tvornica Kulture,Festival,https://www.songkick.com/festivals/204581-the/id/43333973-the-festival-2026?utm_medium=organic&utm_source=microformat,Songkick
2026-09-11,The Rumjacks,Vintage Industrial Bar,Concert,https://www.songkick.com/concerts/43198910-rumjacks-at-vintage-industrial-bar?utm_medium=organic&utm_source=microformat,Songkick
2026-09-12,Patrick Topping,Zagreb,Concert,https://www.songkick.com/concerts/43342774-patrick-topping-at-unknown-venue?utm_medium=organic&utm_source=microformat,Songkick
2026-09-16,Descartes A Kant,Klub Močvara,Concert,https://www.songkick.com/concerts/43302692-descartes-a-kant-at-klub-mocvara?utm_medium=organic&utm_source=microformat,Songkick
2026-09-17,Béton Armé,Klub Močvara,Concert,https://www.songkick.com/concerts/43302697-beton-arme-at-klub-mocvara?utm_medium=organic&utm_source=microformat,Songkick
2026-09-18,Jamie Woon,Boogaloo,Concert,https://www.songkick.com/concerts/43217314-jamie-woon-at-boogaloo?utm_medium=organic&utm_source=microformat,Songkick
2026-09-18,Blackbriar,Vintage Industrial Bar,Concert,https://www.songkick.com/concerts/43307130-blackbriar-at-vintage-industrial-bar?utm_medium=organic&utm_source=microformat,Songkick
